date,cpaltt01usm659n,unemp,t,covid
2004-09-01,2.537797,5.0999999,537,0
2004-10-01,3.1891892,5.0999999,538,0
2004-11-01,3.5230353,5.1999998,539,0
2004-12-01,3.2555616,5.0999999,540,0
2005-01-01,2.9697623,5.6999998,541,0
2005-02-01,3.0075188,5.8000002,542,0
2005-03-01,3.1483457,5.4000001,543,0
2005-04-01,3.5106382,4.9000001,544,0
2005-05-01,2.8027499,4.9000001,545,0
2005-06-01,2.5303111,5.1999998,546,0
2005-07-01,3.1678987,5.1999998,547,0
2005-08-01,3.641161,4.9000001,548,0
2005-09-01,4.686677,4.8000002,549,0
2005-10-01,4.347826,4.5999999,550,0
2005-11-01,3.4554973,4.8000002,551,0
2005-12-01,3.4156594,4.5999999,552,0
2006-01-01,3.9853172,5.0999999,553,0
2006-02-01,3.5974975,5.0999999,554,0
2006-03-01,3.3626487,4.8000002,555,0
2006-04-01,3.5457349,4.5,556,0
2006-05-01,4.1666665,4.4000001,557,0
2006-06-01,4.3187661,4.8000002,558,0
2006-07-01,4.1453428,5,559,0
2006-08-01,3.8187373,4.5999999,560,0
2006-09-01,2.0623744,4.4000001,561,0
2006-10-01,1.3052208,4.0999999,562,0
2006-11-01,1.9736842,4.3000002,563,0
2006-12-01,2.5406504,4.3000002,564,0
2007-01-01,2.0756431,5,565,0
2007-02-01,2.4151988,4.9000001,566,0
2007-03-01,2.7787788,4.5,567,0
2007-04-01,2.5736973,4.3000002,568,0
2007-05-01,2.6908641,4.3000002,569,0
2007-06-01,2.6870379,4.6999998,570,0
2007-07-01,2.3582311,4.9000001,571,0
2007-08-01,1.9700834,4.5999999,572,0
2007-09-01,2.7550519,4.5,573,0
2007-10-01,3.5361745,4.4000001,574,0
2007-11-01,4.3062034,4.5,575,0
2007-12-01,4.0812688,4.8000002,576,0
2008-01-01,4.2802939,5.4000001,577,0
2008-02-01,4.0265555,5.1999998,578,0
2008-03-01,3.9814563,5.1999998,579,0
2008-04-01,3.9368899,4.8000002,580,0
2008-05-01,4.1755428,5.1999998,581,0
2008-06-01,5.02179,5.6999998,582,0
2008-07-01,5.6001229,6,583,0
2008-08-01,5.3718553,6.0999999,584,0
2008-09-01,4.9369273,6,585,0
2008-10-01,3.6551862,6.0999999,586,0
2008-11-01,1.0695747,6.5,587,0
2008-12-01,.091412902,7.0999999,588,0
2009-01-01,.029846504,8.5,589,0
2009-02-01,.23619109,8.8999996,590,0
2009-03-01,-.38355625,9,591,0
2009-04-01,-.73688573,8.6000004,592,0
2009-05-01,-1.2814358,9.1000004,593,0
2009-06-01,-1.4267761,9.6999998,594,0
2009-07-01,-2.0971613,9.6999998,595,0
2009-08-01,-1.4843487,9.6000004,596,0
2009-09-01,-1.286206,9.5,597,0
2009-10-01,-.18284827,9.5,598,0
2009-11-01,1.8382958,9.3999996,599,0
2009-12-01,2.7213311,9.6999998,600,0
2010-01-01,2.6257086,10.6,601,0
2010-02-01,2.1433318,10.4,602,0
2010-03-01,2.3139594,10.2,603,0
2010-04-01,2.2364471,9.5,604,0
2010-05-01,2.0209861,9.3000002,605,0
2010-06-01,1.053349,9.6000004,606,0
2010-07-01,1.2351928,9.6999998,607,0
2010-08-01,1.1481045,9.5,608,0
2010-09-01,1.1436826,9.1999998,609,0
2010-10-01,1.1721876,9,610,0
2010-11-01,1.1431609,9.3000002,611,0
2010-12-01,1.4957235,9.1000004,612,0
2011-01-01,1.6318469,9.8000002,613,0
2011-02-01,2.1075847,9.5,614,0
2011-03-01,2.6816032,9.1999998,615,0
2011-04-01,3.163631,8.6999998,616,0
2011-05-01,3.5686457,8.6999998,617,0
2011-06-01,3.5588284,9.3000002,618,0
2011-07-01,3.628716,9.3000002,619,0
2011-08-01,3.7712083,9.1000004,620,0
2011-09-01,3.8683569,8.8000002,621,0
2011-10-01,3.5251999,8.5,622,0
2011-11-01,3.3943777,8.1999998,623,0
2011-12-01,2.9624188,8.3000002,624,0
2012-01-01,2.9252167,8.8000002,625,0
2012-02-01,2.8710988,8.6999998,626,0
2012-03-01,2.6513982,8.3999996,627,0
